Image number,Dengue fever risk,Probability,Date/Time,Latitude,Longitude
0300,High risk,0.9296875,2023-04-24 02:42:52.993487,51.27900895237029,62.93046363757438
0301,High risk,0.59375,2023-04-24 02:43:03.190452,51.37273217549861,63.92783355548815
0302,High risk,0.9296875,2023-04-24 02:43:13.358571,51.456976355148235,64.92641504997876
0303,High risk,0.84765625,2023-04-24 02:43:23.340065,51.53066788673699,65.9102371072817
0304,High risk,0.98828125,2023-04-24 02:43:33.402456,51.59586649830375,66.90515490171349
0305,Low risk,0.98828125,2023-04-24 02:43:43.012795,51.649573118435214,67.8579495492009
0306,Low risk,0.66015625,2023-04-24 02:43:53.324270,51.697856130546825,68.88271316462053
0307,Low risk,0.75390625,2023-04-24 02:44:03.046943,51.73448788022755,69.8508375487146
0308,No risk,0.71875,2023-04-24 02:44:13.033521,51.763099696831915,70.84673452399214
0309,No risk,0.9921875,2023-04-24 02:44:23.063066,51.782619974799246,71.84803043345501
0310,Low risk,0.99609375,2023-04-24 02:44:33.189435,51.792945347920224,72.8596826230805
0311,Low risk,0.99609375,2023-04-24 02:44:43.016617,51.79394362991021,73.84173454976919
0312,Low risk,0.9375,2023-04-24 02:44:53.395494,51.78534810502965,74.87869953200446
0313,Low risk,0.94921875,2023-04-24 02:45:03.115100,51.76831427061668,75.8492932350812
0314,Low risk,0.6171875,2023-04-24 02:45:13.395495,51.74085563959751,76.87482510698996
